# Depth-area regression over ND dprst sample (issue #173 Task 7). Project=ND_3DEPProcessing_D22. n_sampled=731, n_usable=731 (626 non-flat / 105 flat). mean_depth_m = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (_interior_mask). flat = is_hydroflattened verdict (cached from --flatness when available, else computed fresh) -- flat polygons are EXCLUDED from all fits (their measured depth is ~freeboard, not real bed depth; see Task 5). PLAYA-ANCHORED large-area extrapolation is DEFERRED (only 1 Playa polygon in the ND study area) -- see the run log for the full extrapolation-risk caveat.
COMID,FTYPE,area_m2,mean_depth_m,flat,n_interior_cells,resolution
14745758,SwampMarsh,197537.20411176843,0.0,True,197379,1m
14438688,SwampMarsh,299754.32325484836,0.0007049539452268008,False,299467,1m
14678980,SwampMarsh,135451.86985683726,1.7894877040793547e-07,False,134384,1m
14747002,SwampMarsh,259258.5866791235,0.0,True,259095,1m
14294003,SwampMarsh,20534119.782099277,0.0,True,20084538,1m
14439644,SwampMarsh,1487662.2819835977,0.0,True,1498603,1m
14825675,SwampMarsh,63179.73471226314,0.7742357732307716,False,63149,1m
14828505,SwampMarsh,1721527.5915136181,0.0006694320829724866,False,1721356,1m
14439604,SwampMarsh,246363.10842615203,0.5486462034311237,False,246275,1m
21542846,SwampMarsh,215805.47896383255,2.0241636690016694e-06,False,213847,1m
14826233,SwampMarsh,1306995.640408444,0.0,False,1300379,1m
14684084,SwampMarsh,267756.0293201273,3.7617153987692934e-05,False,267509,1m
14745156,SwampMarsh,353941.62240913266,2.5370836437941302e-08,False,353641,1m
14824987,SwampMarsh,472426.92716360517,0.44181174671375073,False,472347,1m
14678044,SwampMarsh,214464.72883919885,0.0,True,214258,1m
14825531,SwampMarsh,263314.3015770121,0.29589463031112495,False,263174,1m
14439690,SwampMarsh,288568.054216296,0.007912675764061882,False,288626,1m
14273908,SwampMarsh,1003577.0432704873,0.11811166131917891,False,1002184,1m
14292727,SwampMarsh,431923.9392622554,0.48767123575462246,False,431368,1m
14438726,SwampMarsh,241080.68547925906,6.020188411790291e-07,False,240838,1m
14300057,SwampMarsh,421504.3543780119,0.032802304636388675,False,421109,1m
14293667,SwampMarsh,260848.10557808602,1.0625883964382352,False,260545,1m
14293661,SwampMarsh,267598.68406187237,0.281043801814053,False,267302,1m
14745100,SwampMarsh,167955.26027170967,3.940696818372096e-06,False,167817,1m
14300037,SwampMarsh,399794.48329571006,0.13432609729838002,False,399390,1m
14825513,SwampMarsh,113355.88348825682,9.854849566030922e-06,False,113869,1m
14293677,SwampMarsh,277707.21395426395,0.5571369019720951,False,277370,1m
14828493,SwampMarsh,2578631.4043465583,0.0,True,2582964,1m
14425894,SwampMarsh,599490.4316637134,0.1220838808213657,False,607890,1m
14824709,SwampMarsh,305933.0080187203,0.0009755754569555702,False,305719,1m
14681088,SwampMarsh,153898.78340704244,0.0,True,153763,1m
14678984,SwampMarsh,233693.944385475,0.0,False,231846,1m
14677948,SwampMarsh,236424.58164861175,0.0,False,234452,1m
14293697,SwampMarsh,466554.05421005504,0.8476271858744665,False,470807,1m
14438866,SwampMarsh,181112.17951449862,0.17236206762634632,False,181050,1m
14677946,SwampMarsh,170836.9716559215,1.804365597315156e-05,False,170671,1m
