range,std,n_unique,flat,COMID,FTYPE,n_cells,resolution
6.6810150146484375,0.7201740627256105,5608,False,14439690,SwampMarsh,288626,1m
5.386016845703125,0.554328359845379,4939,False,14273908,SwampMarsh,1002184,1m
4.217987060546875,0.34448431703838023,3141,False,14292727,SwampMarsh,431368,1m
2.56298828125,0.026453404464591358,300,False,14438726,SwampMarsh,240838,1m
2.65899658203125,0.17190977552351328,2184,False,14300057,SwampMarsh,421109,1m
1.71697998046875,0.19729496499456145,1556,False,14293667,SwampMarsh,260545,1m
2.52398681640625,0.3791154199480956,2396,False,14293661,SwampMarsh,267302,1m
2.14599609375,0.09833629653055988,1227,False,14745100,SwampMarsh,167817,1m
7.212005615234375,1.0467635749479822,6662,False,14300037,SwampMarsh,399390,1m
2.759979248046875,0.3502460337377614,2239,False,14825513,SwampMarsh,113869,1m
2.123016357421875,0.23473410891178956,1883,False,14293677,SwampMarsh,277370,1m
0.0,0.0,1,True,14828493,SwampMarsh,2582964,1m
1.326995849609375,0.10171532484970397,1086,False,14425894,SwampMarsh,607890,1m
0.510009765625,0.06497798892583033,413,False,14824709,SwampMarsh,305719,1m
0.0,0.0,1,True,14681088,SwampMarsh,153763,1m
2.3759765625,0.0337814860549845,321,False,14678984,SwampMarsh,231846,1m
0.49200439453125,0.0033638573095987304,68,False,14677948,SwampMarsh,234452,1m
4.75701904296875,0.3967398578872603,4031,False,14293697,SwampMarsh,470807,1m
1.80401611328125,0.3165746550935854,1737,False,14438866,SwampMarsh,181050,1m
1.75897216796875,0.03978109852285289,590,False,14677946,SwampMarsh,170671,1m
0.0,0.0,1,True,14679058,SwampMarsh,353027,1m
0.51300048828125,0.016941925942464138,447,False,14293011,SwampMarsh,610004,1m
2.23699951171875,0.21372795177426554,1830,False,14825433,SwampMarsh,63087,1m
4.319000244140625,0.278138557759269,3681,False,14828517,SwampMarsh,606031,1m
1.816009521484375,0.35087919011344515,1728,False,14300069,SwampMarsh,296202,1m
2.78399658203125,0.3671227847994744,2150,False,14679076,SwampMarsh,222554,1m
1.9000244140625,0.20828179153900614,1749,False,14293999,SwampMarsh,214855,1m
1.88800048828125,0.2277715489148592,1629,False,14292979,SwampMarsh,58188,1m
4.697998046875,0.3005799386136304,3055,False,21542862,SwampMarsh,264828,1m
1.76800537109375,0.12979599575632625,1625,False,14293207,SwampMarsh,469880,1m
5.3800048828125,0.5355422304005946,5088,False,14411651,SwampMarsh,841590,1m
1.46600341796875,0.18354518419214047,1342,False,14825491,SwampMarsh,251373,1m
4.733001708984375,0.3702702572710372,2848,False,6680892,SwampMarsh,139586,1m
0.0,0.0,1,True,14745124,SwampMarsh,308682,1m
0.0,0.0,1,True,12713032,SwampMarsh,85708,1m
5.343994140625,1.0904905274630519,5101,False,14826049,SwampMarsh,126646,1m
3.954986572265625,0.24095319066578574,3027,False,14438736,SwampMarsh,2256645,1m
1.15399169921875,0.1886951023290004,1106,False,14293037,SwampMarsh,328446,1m
0.0,0.0,1,True,14293585,SwampMarsh,881088,1m
3.9840087890625,0.45996568886026346,3403,False,14293501,SwampMarsh,269828,1m
0.0,0.0,1,True,14679188,SwampMarsh,222231,1m
0.0,0.0,1,True,21542864,SwampMarsh,355885,1m
1.214019775390625,0.07586240037214464,1038,False,14824783,SwampMarsh,300007,1m
3.845001220703125,0.3966279776829447,3281,False,14293129,SwampMarsh,360639,1m
1.02099609375,0.12929139923073793,939,False,14826537,SwampMarsh,84424,1m
0.0,0.0,1,True,14292997,SwampMarsh,1334672,1m
2.1719970703125,0.15997996706644124,1903,False,14826107,SwampMarsh,338693,1m
3.864013671875,0.2047178237523999,3311,False,6690543,SwampMarsh,1169037,1m
2.089996337890625,0.012398142373550518,648,False,14825071,SwampMarsh,2264917,1m
1.048980712890625,0.017686246506385013,873,False,14292887,SwampMarsh,2719192,1m
0.220947265625,0.0037610345061932816,142,False,21529442,SwampMarsh,277601,1m
0.0,0.0,1,True,14679190,SwampMarsh,314452,1m
1.798980712890625,0.2609267508613983,1511,False,14826155,SwampMarsh,50083,1m
1.76898193359375,0.051190490134491985,536,False,14680276,SwampMarsh,223185,1m
10.858001708984375,0.4876552770876377,8170,False,14292941,SwampMarsh,1910437,1m
