# Freeboard (filled - raw) over Task 4 detected-flat dprst polygons (issue #173 Task 5). Project=ND_3DEPProcessing_D22. n_flat_input=105, n_usable=105. mean_freeboard = volume_mean_depth(depth_to_spill(dem)) over the polygon interior (rim_buffer_m terrain and nodata excluded via _interior_mask).
COMID,FTYPE,area_m2,mean_freeboard_m,mean_freeboard_in,frac_interior_wet,n_interior_cells,resolution
11495190,LakePond,197150.7491139771,0.0,0.0,0.0,196961,1m
14517849,LakePond,37673.24509104749,0.6610107194815721,26.02405812706144,1.0,37633,1m
14299093,LakePond,20353.91751532966,1.1109923926271021,43.739881596968274,1.0,20338,1m
11455288,LakePond,126216.32653051989,0.0,0.0,0.0,126107,1m
14275566,LakePond,11390.666526049421,0.0,0.0,0.0,11376,1m
11494956,LakePond,29879.21644496729,0.0,0.0,0.0,29850,1m
14269432,LakePond,18950.15355292881,0.0,0.0,0.0,18943,1m
14826245,LakePond,6682.767386059414,0.0,0.0,0.0,6679,1m
11504076,LakePond,51527.342667694145,0.4469909697606098,17.598079178572185,1.0,51485,1m
11500654,LakePond,24364.88130719326,0.3460083208388104,13.62238219225605,1.0,24344,1m
14267234,LakePond,18027.715117080985,0.0,0.0,0.0,18014,1m
14297847,LakePond,65217.3792666532,0.0,0.0,0.0,65166,1m
14297741,LakePond,12783.070702098661,0.0,0.0,0.0,12773,1m
14680516,LakePond,24372.309497728136,0.0,0.0,0.0,24350,1m
14679220,LakePond,39543.79602296111,0.0,0.0,0.0,39246,1m
14293045,LakePond,227197.656705976,0.0,0.0,0.0,226966,1m
14685090,LakePond,123780.86012452343,0.0,0.0,0.0,123675,1m
11461396,LakePond,13441.902341227862,0.597015387675899,23.50455551433891,1.0,13431,1m
14747692,LakePond,10544.836144982444,0.9230346968871411,36.33996831991644,1.0,10553,1m
11497918,LakePond,122282.65277439573,0.0,0.0,0.0,122177,1m
21540948,LakePond,58358.64590181314,2.160034226190476,85.04076348854167,1.0,57750,1m
14439714,Reservoir,503256.6889018996,0.0,0.0,0.0,503398,1m
14439712,Reservoir,505034.18979158846,0.3720092725109665,14.646042259684002,1.0,505176,1m
14746998,Reservoir,17933.382764653335,0.0,0.0,0.0,17919,1m
120050301,Reservoir,41188.937066480656,0.0,0.0,0.0,41154,1m
14425888,Reservoir,33933.69265230311,0.23800658550218054,9.370343071879399,1.0,33937,1m
14824733,Reservoir,25508.098993251348,0.6340026843498726,24.96074908312292,1.0,25495,1m
14425932,Reservoir,15678.308788517783,0.33697509376395,13.26674313899609,1.0,15681,1m
