vpu,best_topo,n,area_km2,n_total,area_km2_total,pct_n,pct_area
01,1m,5132,863.9931318899876,5132,863.9931318899876,100.0,100.0
02,1m,6119,562.8499102408749,6119,562.8499102408749,100.0,100.0
03N,10m,780,49.863771958844154,7619,1941.1384999972315,10.237563984774905,2.568790014670013
03N,1m,6839,1891.2747280383874,7619,1941.1384999972315,89.76243601522509,97.43120998532999
03S,10m,651,252.5973699272078,24131,12277.33034301184,2.697774646719987,2.057429122374183
03S,1m,23480,12024.732973084632,24131,12277.33034301184,97.30222535328001,97.94257087762581
03W,10m,827,75.1790352089892,10934,1497.3728685169053,7.5635631973660145,5.020729090907823
03W,1m,10107,1422.193833307916,10934,1497.3728685169053,92.43643680263399,94.97927090909218
04,1m,18164,4212.326061247041,18164,4212.326061247041,100.0,100.0
05,1m,9328,389.0562969547607,9328,389.0562969547607,100.0,100.0
06,1m,572,35.83975600232045,572,35.83975600232045,100.0,100.0
07,10m,106,11.33752254101354,29807,5595.937025823941,0.35562116281410405,0.20260275426069882
07,1m,29701,5584.599503282928,29807,5595.937025823941,99.6443788371859,99.7973972457393
08,10m,192,6.560164337996251,23162,4379.556192153682,0.8289439599343753,0.1497906191898919
08,1m,22970,4372.996027815686,23162,4379.556192153682,99.17105604006562,99.85020938081011
09,10m,6,0.5638312793641572,23669,3746.797305430883,0.02534961341839537,0.015048352857169477
09,1m,23663,3746.233474151519,23669,3746.797305430883,99.9746503865816,99.98495164714284
10L,1m,13496,926.414175224598,13496,926.414175224598,100.0,100.0
10U,10m,306,13.53880540967739,41262,3202.4873314816286,0.7416024429256943,0.42275906220099463
10U,1m,40956,3188.948526071951,41262,3202.4873314816286,99.2583975570743,99.57724093779899
11,10m,35,2.920488314368801,20249,1205.252752043171,0.1728480418786113,0.24231334957899286
11,1m,20214,1202.3322637288022,20249,1205.252752043171,99.82715195812139,99.75768665042101
12,10m,279,17.00757890860655,23224,1843.1783923527908,1.2013434378229417,0.9227310269678575
12,1m,22945,1826.1708134441842,23224,1843.1783923527908,98.79865656217706,99.07726897303215
13,10m,14,0.4848790926938581,3603,490.7249823259862,0.38856508465167916,0.0988087238590505
13,1m,3589,490.24010323329236,3603,490.7249823259862,99.61143491534833,99.90119127614096
14,10m,122,7.950713611144154,2167,174.88049051378954,5.629903091832026,4.546369688114084
14,1m,2045,166.9297769026454,2167,174.88049051378954,94.37009690816798,95.45363031188592
15,10m,74,23.156155447624,1410,389.706283676143,5.24822695035461,5.941950750495832
15,1m,1336,366.55012822851904,1410,389.706283676143,94.7517730496454,94.05804924950417
16,10m,32,101.57520941602581,2532,4261.278426987961,1.263823064770932,2.3836792445365544
16,1m,2500,4159.703217571935,2532,4261.278426987961,98.73617693522907,97.61632075546343
17,10m,226,18.557041015048316,7515,1218.6054638903604,3.0073186959414504,1.522809602035226
17,1m,7289,1200.048422875312,7515,1218.6054638903604,96.99268130405855,98.47719039796478
18,1m,5186,2341.1179233946805,5186,2341.1179233946805,100.0,100.0
unassigned,10m,177,67.78710357643455,6745,1598.6650814361903,2.62416604892513,4.240231701035013
unassigned,1m,6568,1530.877977859756,6745,1598.6650814361903,97.37583395107487,95.759768298965
