lu_code,lu_desc,nhm_cov_type,srain_intcp,wrain_intcp,snow_intcp,nhm_covden_win,evergreen_retention
0,Bare_Developed,0,0.00,0.00,0.00,0.0,0.0
1,Grass,1,0.02,0.02,0.00,0.8,0.0
2,Shrub,2,0.05,0.05,0.02,0.7,0.3
3,Deciduous_Forest,3,0.05,0.02,0.02,0.6,0.0
4,Evergreen_Forest,3,0.05,0.05,0.10,1.0,1.0
